VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-12-01 05:14:40,2020-12-01 05:31:09,1,7.50,1,N,234,168,2,23.5,3,0.5,0,0,0.3,27.3,2.5
2,2020-12-01 05:30:30,2020-12-01 05:34:38,6,1.20,1,N,237,162,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
1,2020-12-01 05:09:20,2020-12-01 05:23:05,1,5.70,1,N,132,180,2,18,0.5,0.5,0,0,0.3,19.3,0
2,2020-12-01 05:46:10,2020-12-01 05:51:34,2,1.26,1,N,162,137,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-12-01 05:49:57,2020-12-01 05:54:52,4,1.46,1,N,48,163,1,6.5,0.5,0.5,3.09,0,0.3,13.39,2.5
2,2020-12-01 05:39:43,2020-12-01 05:49:45,6,3.02,1,N,262,161,1,11,0.5,0.5,3.7,0,0.3,18.5,2.5
1,2020-12-01 05:23:26,2020-12-01 05:30:02,1,1.50,1,N,90,246,1,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2020-12-01 05:33:35,2020-12-01 05:39:15,1,1.30,1,N,246,90,1,6.5,3,0.5,0,0,0.3,10.3,2.5
2,2020-12-01 05:15:50,2020-12-01 05:21:54,1,1.30,1,N,90,137,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,2020-12-01 05:13:24,2020-12-01 05:24:12,1,5.74,1,N,231,140,1,17.5,0.5,0.5,4.26,0,0.3,25.56,2.5
2,2020-12-01 05:29:43,2020-12-01 05:34:05,2,1.99,1,N,233,79,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
1,2020-12-01 05:53:36,2020-12-01 05:57:57,1,1.40,1,N,234,161,1,6.5,3,0.5,1,0,0.3,11.3,2.5
2,2020-12-01 05:02:26,2020-12-01 05:08:31,1,2.60,1,N,141,74,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-12-01 05:13:30,2020-12-01 05:18:43,1,1.68,1,N,263,140,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-12-01 05:56:49,2020-12-01 05:59:16,1,.77,1,N,79,107,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
1,2020-12-01 05:51:42,2020-12-01 05:55:22,1,1.10,1,N,186,48,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5
2,2020-12-01 05:34:30,2020-12-01 05:53:13,1,14.11,1,N,132,252,2,38,0.5,0.5,0,0,0.3,39.3,0
2,2020-12-01 05:27:58,2020-12-01 05:34:37,1,1.52,1,N,140,161,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2020-12-01 05:18:55,2020-12-01 05:25:14,1,1.75,1,N,229,142,1,7.5,0.5,0.5,3.39,0,0.3,14.69,2.5
1,2020-12-01 05:04:05,2020-12-01 05:18:02,1,6.40,1,N,13,161,2,20,3,0.5,0,0,0.3,23.8,2.5
